signal_id,symbol,target_signal_dt,confidence,Open_t-10,Close_t-10,High_t-10,Low_t-10,Volume_t-10,Open_t-9,Close_t-9,High_t-9,Low_t-9,Volume_t-9,Open_t-8,Close_t-8,High_t-8,Low_t-8,Volume_t-8,Open_t-7,Close_t-7,High_t-7,Low_t-7,Volume_t-7,Open_t-6,Close_t-6,High_t-6,Low_t-6,Volume_t-6,Open_t-5,Close_t-5,High_t-5,Low_t-5,Volume_t-5,Open_t-4,Close_t-4,High_t-4,Low_t-4,Volume_t-4,Open_t-3,Close_t-3,High_t-3,Low_t-3,Volume_t-3,Open_t-2,Close_t-2,High_t-2,Low_t-2,Volume_t-2,Open_t-1,Close_t-1,High_t-1,Low_t-1,Volume_t-1
TATASTEEL_20260508_0557,TATASTEEL,2026-05-08 05:57:00,high,216.9600067138672,217.10000610351562,217.49000549316406,216.86000061035156,1682031.0,216.36000061035156,215.75999450683594,216.6999969482422,215.0,1052052.0,215.75,215.10000610351562,215.7899932861328,215.10000610351562,1289027.0,215.0500030517578,215.39999389648438,215.55999755859375,214.75,1445425.0,215.44000244140625,215.35000610351562,215.6999969482422,215.05999755859375,408449.0,215.35000610351562,215.6199951171875,215.69000244140625,214.8000030517578,718133.0,215.61000061035156,216.38999938964844,216.52999877929688,215.61000061035156,577821.0,216.3800048828125,216.0,216.64999389648438,215.9499969482422,451237.0,215.94000244140625,216.41000366210938,216.64999389648438,215.89999389648438,543168.0,216.3800048828125,216.11000061035156,216.5,215.99000549316406,290095.0
HAVELLS_20260508_1015,HAVELLS,2026-05-08 10:15:00,high,1258.5,1262.800048828125,1262.800048828125,1257.5999755859375,26467.0,1262.300048828125,1265.0999755859375,1265.9000244140625,1261.9000244140625,36734.0,1264.300048828125,1261.9000244140625,1264.9000244140625,1261.800048828125,17175.0,1262.4000244140625,1258.800048828125,1262.5999755859375,1258.0999755859375,26269.0,1258.199951171875,1260.800048828125,1262.800048828125,1257.699951171875,22757.0,1260.5,1259.0,1260.699951171875,1257.9000244140625,19167.0,1259.0999755859375,1260.0,1261.800048828125,1259.0,30367.0,1259.9000244140625,1259.5,1263.4000244140625,1259.300048828125,14881.0,1259.0999755859375,1255.0999755859375,1259.0999755859375,1255.0999755859375,44887.0,1255.4000244140625,1253.0,1257.0999755859375,1252.4000244140625,68003.0
DLF_20260508_0524,DLF,2026-05-08 05:24:00,high,618.1500244140625,618.4000244140625,618.9000244140625,617.5499877929688,146049.0,618.4000244140625,619.0999755859375,619.0999755859375,618.0,330227.0,619.0999755859375,619.25,620.0,619.0,394840.0,616.0,617.5999755859375,618.0999755859375,612.4000244140625,119220.0,617.4000244140625,614.2999877929688,617.9000244140625,613.5,166082.0,614.3499755859375,618.4000244140625,619.7999877929688,613.0999755859375,202042.0,618.4500122070312,616.0499877929688,618.9500122070312,615.1500244140625,149152.0,615.8499755859375,616.6500244140625,617.5,615.5999755859375,56609.0,616.5,616.75,617.2000122070312,616.0,33701.0,617.0,615.4500122070312,617.4500122070312,615.4500122070312,59972.0
ADANIENSOL_20260508_1045,ADANIENSOL,2026-05-08 10:45:00,high,1367.5999755859375,1365.699951171875,1367.800048828125,1364.0,84579.0,1365.5,1366.5999755859375,1370.0999755859375,1364.800048828125,94289.0,1366.0,1361.199951171875,1366.699951171875,1360.0999755859375,124617.0,1361.0,1365.699951171875,1367.199951171875,1357.300048828125,108477.0,1365.0,1363.5,1365.0,1359.4000244140625,127151.0,1363.5,1360.800048828125,1365.0,1358.300048828125,94407.0,1361.4000244140625,1364.699951171875,1368.4000244140625,1361.4000244140625,161433.0,1364.699951171875,1361.9000244140625,1364.9000244140625,1360.0,163922.0,1361.0999755859375,1355.0999755859375,1361.0999755859375,1353.4000244140625,194728.0,1355.199951171875,1353.699951171875,1356.9000244140625,1348.4000244140625,312710.0
TATASTEEL_20260508_1337,TATASTEEL,2026-05-08 13:37:00,high,215.61000061035156,215.6300048828125,215.75999450683594,215.11000061035156,346755.0,215.6300048828125,215.99000549316406,215.99000549316406,215.47000122070312,213568.0,215.97999572753906,215.07000732421875,216.0,214.7899932861328,577268.0,215.10000610351562,214.52999877929688,215.1999969482422,214.3300018310547,467289.0,214.52000427246094,214.57000732421875,214.85000610351562,214.4600067138672,301535.0,214.52000427246094,215.00999450683594,215.0500030517578,214.49000549316406,534420.0,215.0,215.3800048828125,215.5,214.9199981689453,388378.0,215.3800048828125,215.05999755859375,215.39999389648438,214.9499969482422,471132.0,215.1300048828125,214.4499969482422,215.1300048828125,214.3000030517578,1012912.0,214.4600067138672,214.5,214.67999267578125,214.27999877929688,1507766.0
DLF_20260508_1301,DLF,2026-05-08 13:01:00,medium,608.6500244140625,609.2999877929688,609.4500122070312,608.4500122070312,39786.0,609.2999877929688,611.0,611.2000122070312,609.0,49168.0,611.25,610.0999755859375,611.4000244140625,609.4500122070312,41697.0,610.0999755859375,608.5999755859375,610.2000122070312,608.4500122070312,40605.0,608.5499877929688,610.2000122070312,610.7000122070312,608.4500122070312,40598.0,610.2000122070312,609.0,610.3499755859375,608.4000244140625,122663.0,609.1500244140625,612.4000244140625,612.75,609.1500244140625,123559.0,612.5,610.9500122070312,612.7000122070312,610.7000122070312,121982.0,610.7999877929688,608.5499877929688,610.7999877929688,608.0999755859375,201553.0,608.3499755859375,606.0,609.2000122070312,606.0,222213.0
TATASTEEL_20260508_1431,TATASTEEL,2026-05-08 14:31:00,high,215.61000061035156,215.6300048828125,215.75999450683594,215.11000061035156,346755.0,215.6300048828125,215.99000549316406,215.99000549316406,215.47000122070312,213568.0,215.97999572753906,215.07000732421875,216.0,214.7899932861328,577268.0,215.10000610351562,214.52999877929688,215.1999969482422,214.3300018310547,467289.0,214.52000427246094,214.57000732421875,214.85000610351562,214.4600067138672,301535.0,214.52000427246094,215.00999450683594,215.0500030517578,214.49000549316406,534420.0,215.0,215.3800048828125,215.5,214.9199981689453,388378.0,215.3800048828125,215.05999755859375,215.39999389648438,214.9499969482422,471132.0,215.1300048828125,214.4499969482422,215.1300048828125,214.3000030517578,1012912.0,214.4600067138672,214.5,214.67999267578125,214.27999877929688,1507766.0
DLF_20260508_1356,DLF,2026-05-08 13:56:00,medium,608.6500244140625,609.2999877929688,609.4500122070312,608.4500122070312,39786.0,609.2999877929688,611.0,611.2000122070312,609.0,49168.0,611.25,610.0999755859375,611.4000244140625,609.4500122070312,41697.0,610.0999755859375,608.5999755859375,610.2000122070312,608.4500122070312,40605.0,608.5499877929688,610.2000122070312,610.7000122070312,608.4500122070312,40598.0,610.2000122070312,609.0,610.3499755859375,608.4000244140625,122663.0,609.1500244140625,612.4000244140625,612.75,609.1500244140625,123559.0,612.5,610.9500122070312,612.7000122070312,610.7000122070312,121982.0,610.7999877929688,608.5499877929688,610.7999877929688,608.0999755859375,201553.0,608.3499755859375,606.0,609.2000122070312,606.0,222213.0
TATASTEEL_20260511_1215,TATASTEEL,2026-05-11 12:15:00,high,213.25,213.27999877929688,213.3000030517578,212.82000732421875,323572.0,213.24000549316406,213.05999755859375,213.2899932861328,212.92999267578125,205742.0,213.1699981689453,213.24000549316406,213.75,212.92999267578125,451513.0,213.24000549316406,213.35000610351562,213.74000549316406,213.2100067138672,305995.0,213.25999450683594,213.1699981689453,213.41000366210938,213.1300048828125,212312.0,213.1699981689453,213.17999267578125,213.49000549316406,213.0,433601.0,213.16000366210938,213.1999969482422,213.44000244140625,213.00999450683594,742510.0,213.1999969482422,212.6999969482422,213.22000122070312,212.66000366210938,1064037.0,212.6999969482422,212.0500030517578,212.6999969482422,211.86000061035156,1381161.0,212.07000732421875,211.91000366210938,212.3000030517578,211.72000122070312,1479721.0
ADANIENSOL_20260511_1315,ADANIENSOL,2026-05-11 13:15:00,high,1328.5999755859375,1331.0999755859375,1332.0,1327.0,108567.0,1331.5,1342.199951171875,1357.800048828125,1331.300048828125,335265.0,1343.0,1348.0,1355.199951171875,1340.0,158698.0,1348.0,1345.4000244140625,1352.9000244140625,1342.800048828125,136903.0,1345.300048828125,1344.9000244140625,1350.0,1343.5999755859375,114245.0,1345.0999755859375,1342.5,1348.9000244140625,1339.300048828125,191008.0,1342.5999755859375,1346.300048828125,1355.199951171875,1341.699951171875,172046.0,1346.9000244140625,1345.0999755859375,1347.9000244140625,1343.0999755859375,131507.0,1345.199951171875,1337.0,1345.9000244140625,1337.0,164882.0,1337.0,1340.4000244140625,1345.800048828125,1337.0,202458.0
